Connect to JDData status: True
report first level market breadth
HS300 index
117 : 16.00%
118 : 17.00%
119 : 22.00%
120 : 22.67%
121 : 20.00%
report HY001 能源
117 : 9.09%
118 : 12.99%
119 : 22.08%
120 : 22.08%
121 : 10.39%
report HY002 材料
117 : 19.49%
118 : 14.70%
119 : 9.74%
120 : 16.41%
121 : 14.87%
report HY003 工业
117 : 14.17%
118 : 13.48%
119 : 12.19%
120 : 14.57%
121 : 17.05%
report HY004 可选消费
117 : 18.75%
118 : 18.09%
119 : 14.64%
120 : 14.80%
121 : 14.97%
report HY005 日常消费
117 : 15.87%
118 : 15.87%
119 : 11.06%
120 : 13.46%
121 : 16.35%
report HY006 医疗保健
117 : 19.15%
118 : 21.58%
119 : 12.16%
120 : 15.81%
121 : 20.06%
report HY007 金融
117 : 15.45%
118 : 29.09%
119 : 31.82%
120 : 28.18%
121 : 14.55%
report HY008 信息技术
117 : 16.62%
118 : 12.35%
119 : 10.74%
120 : 15.29%
121 : 16.32%
report HY009 电信服务
117 : 0.00%
118 : 0.00%
119 : 0.00%
120 : 0.00%
121 : 0.00%
report HY010 公共事业
117 : 9.17%
118 : 5.50%
119 : 6.42%
120 : 6.42%
121 : 8.26%
report HY011 房地产
117 : 14.58%
118 : 6.94%
119 : 9.72%
120 : 9.03%
121 : 9.03%
report second level market breadth
report HY477 啤酒
117 : 42.86%
118 : 57.14%
119 : 28.57%
120 : 42.86%
121 : 42.86%
report HY478 白酒
117 : 3.45%
118 : 6.90%
119 : 10.34%
120 : 10.34%
121 : 10.34%
report HY479 软饮料
117 : 50.00%
118 : 25.00%
119 : 0.00%
120 : 0.00%
121 : 0.00%
report HY481 食品加工和肉类
117 : 14.43%
118 : 14.43%
119 : 8.25%
120 : 14.43%
121 : 20.62%
report HY504 人寿与健康保险
117 : 66.67%
118 : 66.67%
119 : 66.67%
120 : 66.67%
121 : 33.33%
report HY523 半导体设备
117 : 40.00%
118 : 40.00%
119 : 40.00%
120 : 30.00%
121 : 50.00%
report HY524 半导体产品
117 : 34.67%
118 : 20.00%
119 : 20.00%
120 : 21.33%
121 : 29.33%
report HY446 消费电子
117 : 11.11%
118 : 5.56%
119 : 11.11%
120 : 22.22%
121 : 22.22%
report HY572 中药
117 : 11.43%
118 : 10.00%
119 : 4.29%
120 : 4.29%
121 : 5.71%
report HY491 生物科技
117 : 35.59%
118 : 33.90%
119 : 20.34%
120 : 22.03%
121 : 30.51%
report HY492 西药
117 : 12.39%
118 : 15.93%
119 : 4.42%
120 : 9.73%
121 : 13.27%
report HY485 医疗保健设备
117 : 30.77%
118 : 38.46%
119 : 30.77%
120 : 30.77%
121 : 34.62%
report HY486 医疗保健用品
117 : 19.05%
118 : 28.57%
119 : 19.05%
120 : 19.05%
121 : 42.86%
report HY487 保健护理产品经销商
117 : 14.29%
118 : 19.05%
119 : 14.29%
120 : 19.05%
121 : 4.76%
report HY488 保健护理服务
117 : 0.00%
118 : 0.00%
119 : 0.00%
120 : 20.00%
121 : 20.00%
report HY435 航空
117 : 12.50%
118 : 0.00%
119 : 25.00%
120 : 12.50%
121 : 0.00%
report HY439 机场服务
117 : 0.00%
118 : 0.00%
119 : 25.00%
120 : 25.00%
121 : 25.00%
report HY449 家用电器
117 : 26.92%
118 : 23.08%
119 : 23.08%
120 : 21.15%
121 : 17.31%
report HY454 鞋类
117 : 33.33%
118 : 33.33%
119 : 33.33%
120 : 33.33%
121 : 22.22%
report HY493 多元化银行
117 : 6.25%
118 : 0.00%
119 : 37.50%
120 : 6.25%
121 : 12.50%
report HY494 区域性银行
117 : 4.76%
118 : 0.00%
119 : 0.00%
120 : 0.00%
121 : 0.00%
report HY496 多元化金融
117 : 50.00%
118 : 75.00%
119 : 25.00%
120 : 75.00%
121 : 25.00%
report HY501 投资银行业与经纪业
117 : 23.40%
118 : 53.19%
119 : 48.94%
120 : 48.94%
