Connect to JDData status: True
report first level market breadth
HS300 index
113 : 22.67%
114 : 20.00%
115 : 40.00%
116 : 75.67%
117 : 68.00%
report HY001 能源
113 : 22.08%
114 : 10.39%
115 : 31.17%
116 : 75.32%
117 : 63.64%
report HY002 材料
113 : 16.41%
114 : 14.87%
115 : 32.82%
116 : 63.59%
117 : 58.80%
report HY003 工业
113 : 14.57%
114 : 17.05%
115 : 35.88%
116 : 72.45%
117 : 66.11%
report HY004 可选消费
113 : 14.80%
114 : 14.97%
115 : 31.25%
116 : 62.99%
117 : 61.84%
report HY005 日常消费
113 : 13.46%
114 : 16.35%
115 : 27.40%
116 : 55.29%
117 : 60.10%
report HY006 医疗保健
113 : 15.81%
114 : 20.06%
115 : 42.86%
116 : 76.29%
117 : 78.12%
report HY007 金融
113 : 28.18%
114 : 14.55%
115 : 39.09%
116 : 90.91%
117 : 73.64%
report HY008 信息技术
113 : 15.29%
114 : 16.32%
115 : 36.62%
116 : 77.94%
117 : 72.50%
report HY009 电信服务
113 : 0.00%
114 : 0.00%
115 : 0.00%
116 : 71.43%
117 : 14.29%
report HY010 公共事业
113 : 6.42%
114 : 8.26%
115 : 34.86%
116 : 76.15%
117 : 62.39%
report HY011 房地产
113 : 9.03%
114 : 9.03%
115 : 14.58%
116 : 45.14%
117 : 35.42%
report second level market breadth
report HY477 啤酒
113 : 42.86%
114 : 42.86%
115 : 57.14%
116 : 57.14%
117 : 57.14%
report HY478 白酒
113 : 10.34%
114 : 10.34%
115 : 27.59%
116 : 58.62%
117 : 72.41%
report HY479 软饮料
113 : 0.00%
114 : 0.00%
115 : 25.00%
116 : 50.00%
117 : 50.00%
report HY481 食品加工和肉类
113 : 14.43%
114 : 20.62%
115 : 30.93%
116 : 57.73%
117 : 55.67%
report HY504 人寿与健康保险
113 : 66.67%
114 : 33.33%
115 : 66.67%
116 : 100.00%
117 : 100.00%
report HY523 半导体设备
113 : 30.00%
114 : 50.00%
115 : 50.00%
116 : 90.00%
117 : 90.00%
report HY524 半导体产品
113 : 21.33%
114 : 29.33%
115 : 49.33%
116 : 86.67%
117 : 89.33%
report HY446 消费电子
113 : 22.22%
114 : 22.22%
115 : 44.44%
116 : 94.44%
117 : 83.33%
report HY572 中药
113 : 4.29%
114 : 5.71%
115 : 30.00%
116 : 72.86%
117 : 68.57%
report HY491 生物科技
113 : 22.03%
114 : 30.51%
115 : 67.80%
116 : 84.75%
117 : 88.14%
report HY492 西药
113 : 9.73%
114 : 13.27%
115 : 29.20%
116 : 69.03%
117 : 70.80%
report HY485 医疗保健设备
113 : 30.77%
114 : 34.62%
115 : 57.69%
116 : 84.62%
117 : 84.62%
report HY486 医疗保健用品
113 : 19.05%
114 : 42.86%
115 : 66.67%
116 : 90.48%
117 : 100.00%
report HY487 保健护理产品经销商
113 : 19.05%
114 : 4.76%
115 : 38.10%
116 : 71.43%
117 : 76.19%
report HY488 保健护理服务
113 : 20.00%
114 : 20.00%
115 : 20.00%
116 : 60.00%
117 : 80.00%
report HY435 航空
113 : 12.50%
114 : 0.00%
115 : 25.00%
116 : 37.50%
117 : 50.00%
report HY439 机场服务
113 : 25.00%
114 : 25.00%
115 : 25.00%
116 : 50.00%
117 : 25.00%
report HY449 家用电器
113 : 21.15%
114 : 17.31%
115 : 40.38%
116 : 69.23%
117 : 67.31%
report HY454 鞋类
113 : 33.33%
114 : 22.22%
115 : 44.44%
116 : 66.67%
117 : 66.67%
report HY493 多元化银行
113 : 6.25%
114 : 12.50%
115 : 12.50%
116 : 81.25%
