Connect to JDData status: True
report first level market breadth
HS300 index
113 : 20.00%
114 : 40.00%
115 : 75.67%
116 : 68.00%
117 : 53.33%
report HY001 能源
113 : 10.39%
114 : 31.17%
115 : 75.32%
116 : 63.64%
117 : 55.84%
report HY002 材料
113 : 14.87%
114 : 32.82%
115 : 63.59%
116 : 58.80%
117 : 49.57%
report HY003 工业
113 : 17.15%
114 : 35.88%
115 : 72.45%
116 : 66.11%
117 : 54.51%
report HY004 可选消费
113 : 14.97%
114 : 31.25%
115 : 62.99%
116 : 61.84%
117 : 49.51%
report HY005 日常消费
113 : 16.35%
114 : 27.40%
115 : 55.29%
116 : 60.10%
117 : 47.12%
report HY006 医疗保健
113 : 20.06%
114 : 42.86%
115 : 76.29%
116 : 78.12%
117 : 61.70%
report HY007 金融
113 : 14.55%
114 : 39.09%
115 : 90.91%
116 : 73.64%
117 : 50.91%
report HY008 信息技术
113 : 16.47%
114 : 36.76%
115 : 78.09%
116 : 72.65%
117 : 52.21%
report HY009 电信服务
113 : 0.00%
114 : 0.00%
115 : 71.43%
116 : 14.29%
117 : 28.57%
report HY010 公共事业
113 : 8.26%
114 : 34.86%
115 : 76.15%
116 : 62.39%
117 : 53.21%
report HY011 房地产
113 : 9.03%
114 : 14.58%
115 : 45.14%
116 : 35.42%
117 : 18.75%
report second level market breadth
report HY477 啤酒
113 : 42.86%
114 : 57.14%
115 : 57.14%
116 : 57.14%
117 : 28.57%
report HY478 白酒
113 : 10.34%
114 : 27.59%
115 : 58.62%
116 : 72.41%
117 : 65.52%
report HY479 软饮料
113 : 0.00%
114 : 25.00%
115 : 50.00%
116 : 50.00%
117 : 50.00%
report HY481 食品加工和肉类
113 : 20.62%
114 : 30.93%
115 : 57.73%
116 : 55.67%
117 : 48.45%
report HY504 人寿与健康保险
113 : 33.33%
114 : 66.67%
115 : 100.00%
116 : 100.00%
117 : 66.67%
report HY523 半导体设备
113 : 50.00%
114 : 50.00%
115 : 90.00%
116 : 90.00%
117 : 50.00%
report HY524 半导体产品
113 : 29.33%
114 : 49.33%
115 : 86.67%
116 : 89.33%
117 : 64.00%
report HY446 消费电子
113 : 22.22%
114 : 44.44%
115 : 94.44%
116 : 83.33%
117 : 50.00%
report HY572 中药
113 : 5.71%
114 : 30.00%
115 : 72.86%
116 : 68.57%
117 : 51.43%
report HY491 生物科技
113 : 30.51%
114 : 67.80%
115 : 84.75%
116 : 88.14%
117 : 74.58%
report HY492 西药
113 : 13.27%
114 : 29.20%
115 : 69.03%
116 : 70.80%
117 : 53.10%
report HY485 医疗保健设备
113 : 34.62%
114 : 57.69%
115 : 84.62%
116 : 84.62%
117 : 73.08%
report HY486 医疗保健用品
113 : 42.86%
114 : 66.67%
115 : 90.48%
116 : 100.00%
117 : 90.48%
report HY487 保健护理产品经销商
113 : 4.76%
114 : 38.10%
115 : 71.43%
116 : 76.19%
117 : 38.10%
report HY488 保健护理服务
113 : 20.00%
114 : 20.00%
115 : 60.00%
116 : 80.00%
117 : 80.00%
report HY435 航空
113 : 0.00%
114 : 25.00%
115 : 37.50%
116 : 50.00%
117 : 12.50%
report HY439 机场服务
113 : 25.00%
114 : 25.00%
115 : 50.00%
116 : 25.00%
117 : 0.00%
report HY449 家用电器
113 : 17.31%
114 : 40.38%
115 : 69.23%
116 : 67.31%
117 : 67.31%
report HY454 鞋类
113 : 22.22%
114 : 44.44%
115 : 66.67%
116 : 66.67%
117 : 66.67%
report HY493 多元化银行
113 : 12.50%
114 : 12.50%
115 : 81.25%
116 : 50.00%
117 : 37.50%
